timestamp,agent.name,rule.description,rule.level,rule.id
"May 17, 2026 @ 10:09:25.089",ubuntu-target,PAM: Login session opened.,3,5501
"May 17, 2026 @ 10:09:25.071",ubuntu-target,PAM: Login session opened.,3,5501
"May 17, 2026 @ 10:09:25.070",ubuntu-target,Apparmor DENIED,3,52002
"May 17, 2026 @ 10:09:07.650",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:07.593",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:07.497",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:07.495",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:07.493",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:07.491",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:07.490",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:07.489",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:07.258",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:07.196",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:07.134",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:07.048",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:06.918",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:06.857",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:06.796",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:06.735",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:06.675",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:06.614",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:06.553",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:06.492",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:06.431",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:06.369",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:06.308",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:06.249",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:06.190",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:06.122",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 17, 2026 @ 10:09:05.039",ubuntu-target,Wazuh agent started.,3,503
"May 17, 2026 @ 10:06:55.075",wazuh-server,PAM: Login session opened.,3,5501
"May 17, 2026 @ 10:06:55.075",wazuh-server,sshd: authentication success.,3,5715
"May 17, 2026 @ 10:06:31.060",wazuh-server,PAM: Login session opened.,3,5501
"May 17, 2026 @ 10:06:31.060",wazuh-server,PAM: Login session opened.,3,5501
"May 17, 2026 @ 10:05:59.559",wazuh-server,Wazuh server started.,3,502
"May 16, 2026 @ 21:44:32.214",ubuntu-target,Wazuh agent stopped.,3,506
"May 16, 2026 @ 20:35:05.092",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 20:35:05.092",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 20:35:05.092",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 20:34:35.070",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 20:34:31.070",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 20:34:31.070",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 20:34:11.061",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 20:34:11.061",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 20:34:11.061",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 20:33:33.039",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 20:33:33.039",wazuh-server,PAM: Login session opened.,3,5501
